date,direction,ticker,spy_entry,orb_high,orb_low,entry_time,exit_time,exit_reason,entry_premium,exit_premium,contracts,return_pct,dollar_pnl,win,thin_exit,exit_n_tx
2025-08-08,CALL,O:SPY250808C00635000,635.28,634.8,633.74,09:45,16:00,EOD_16:00,1.23,2.36,1.626,91.9,183.74,True,False,15
2025-08-11,PUT,O:SPY250811P00637000,636.79,637.76,636.88,10:45,16:00,EOD_16:00,0.77,1.25,2.597,62.3,124.68,True,False,23
2025-08-12,CALL,O:SPY250812C00640000,640.24,639.88,637.84,11:00,16:00,EOD_16:00,0.93,2.58,2.151,177.4,354.84,True,False,7
2025-08-13,CALL,O:SPY250813C00646000,645.86,645.56,644.49,09:45,16:00,EOD_16:00,0.68,0.02,2.941,-97.1,-194.12,False,False,95
2025-08-15,PUT,O:SPY250815P00644000,643.93,646.09,645.07,09:45,16:00,EOD_16:00,0.97,0.89,2.062,-8.2,-16.49,False,False,88
2025-08-18,PUT,O:SPY250818P00643000,642.73,643.59,642.79,09:55,16:00,EOD_16:00,0.94,0.06,2.128,-93.6,-187.23,False,False,108
2025-08-19,CALL,O:SPY250819C00644000,644.1,643.43,641.99,10:00,16:00,EOD_16:00,0.37,0.01,5.405,-97.3,-194.59,False,True,3
2025-08-21,PUT,O:SPY250821P00635000,635.13,636.51,635.25,09:55,16:00,EOD_16:00,1.39,0.04,1.439,-97.1,-194.24,False,False,101
2025-08-22,CALL,O:SPY250822C00640000,639.57,639.43,637.25,09:45,16:00,EOD_16:00,2.36,5.27,0.847,123.3,246.61,True,True,3
2025-08-25,PUT,O:SPY250825P00642000,642.47,644.37,643.41,15:55,16:00,EOD_16:00,0.03,0.03,66.667,0.0,0.0,False,False,88
2025-08-26,CALL,O:SPY250826C00643000,643.18,642.85,641.93,10:20,16:00,EOD_16:00,0.67,2.11,2.985,214.9,429.85,True,False,13
2025-08-28,PUT,O:SPY250828P00647000,646.55,648.09,646.86,09:45,16:00,EOD_16:00,1.25,0.01,1.6,-99.2,-198.4,False,False,38
2025-08-29,PUT,O:SPY250829P00646000,646.1,647.84,646.8,09:45,16:00,EOD_16:00,0.95,1.12,2.105,17.9,35.79,True,False,23
2025-09-02,PUT,O:SPY250902P00635000,635.5,637.52,636.05,11:35,16:00,EOD_16:00,0.88,0.01,2.273,-98.9,-197.73,False,False,18
2025-09-03,CALL,O:SPY250903C00643000,643.25,643.23,642.41,10:30,16:00,EOD_16:00,0.84,0.85,2.381,1.2,2.38,True,False,145
2025-09-04,CALL,O:SPY250904C00646000,645.6,645.3,644.19,10:35,16:00,EOD_16:00,0.58,2.91,3.448,401.7,803.45,True,False,11
2025-09-08,CALL,O:SPY250908C00649000,649.1,649.06,648.06,10:35,16:00,EOD_16:00,0.69,0.04,2.899,-94.2,-188.41,False,False,237
2025-09-09,PUT,O:SPY250909P00649000,648.66,649.5,648.75,09:50,16:00,EOD_16:00,1.11,0.01,1.802,-99.1,-198.2,False,False,73
2025-09-10,CALL,O:SPY250910C00654000,653.74,653.73,652.68,09:45,16:00,EOD_16:00,0.6,0.01,3.333,-98.3,-196.67,False,True,1
2025-09-11,CALL,O:SPY250911C00655000,655.11,654.62,653.7,09:50,16:00,EOD_16:00,0.82,2.48,2.439,202.4,404.88,True,False,8
2025-09-12,CALL,O:SPY250912C00658000,657.99,657.77,657.14,09:55,16:00,EOD_16:00,0.8,0.02,2.5,-97.5,-195.0,False,False,102
2025-09-15,CALL,O:SPY250915C00660000,660.46,660.3,659.48,09:50,16:00,EOD_16:00,0.96,0.56,2.083,-41.7,-83.33,False,False,71
2025-09-16,PUT,O:SPY250916P00660000,660.31,661.78,660.66,09:50,16:00,EOD_16:00,0.78,0.12,2.564,-84.6,-169.23,False,False,136
