paper_trade_id,underlying,status,entry_time,probability_of_profit,expected_value,capital_at_risk,selected_score,leg_count
ase_pt_e78b3303041b4e8e,PERFTEST,OPEN,2026-07-17 21:50:58.904164+00,0.6500,0.0250,200.00,0.5813,2
ase_pt_3f2458b9297a4ad0,TEST,OPEN,2026-07-17 05:32:30.55398+00,0.5500,-0.3357,583.57,0.5050,8
ase_pt_9bb6a291e8394a63,TEST,OPEN,2026-07-17 05:32:30.395239+00,0.5500,2.5009,145.76,0.7050,6
ase_pt_0dd30d7452624163,TEST,OPEN,2026-07-17 05:32:30.310131+00,0.5500,38.1081,424.19,0.7050,5
ase_pt_a96a5356fe294b6a,TEST,OPEN,2026-07-17 05:32:30.222612+00,0.5500,-0.1234,232.34,0.5050,4
ase_pt_4a4131e4b37349c8,TEST,OPEN,2026-07-17 05:32:30.061568+00,0.5500,0.6671,263.29,0.7050,2
ase_pt_4d4e18373bcb40ef,TEST,OPEN,2026-07-17 05:32:29.957349+00,0.5500,106.1571,109.29,0.7050,1
ase_pt_746387e359af4fd9,TEST,OPEN,2026-07-17 05:32:29.872265+00,0.5500,2.7149,117.36,0.7050,2
ase_pt_81f372c0b5194ee7,TEST,OPEN,2026-07-17 05:32:29.816225+00,0.5500,95.9490,963.62,0.7050,2
ase_pt_9403ce850be042b9,TEST,OPEN,2026-07-17 05:32:29.757673+00,0.5500,-2.6866,726.26,0.5050,4
ase_pt_b816b72e7a2f46dc,TEST,OPEN,2026-07-17 05:32:29.669581+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_ad101c6b69114db6,TEST,OPEN,2026-07-17 05:32:29.588713+00,0.5500,0.4493,5.94,0.7050,3
ase_pt_e68147c53ad64379,TEST,OPEN,2026-07-17 05:32:29.46102+00,0.5500,0.8582,168.83,0.7050,2
ase_pt_8c37415feac34594,TEST,OPEN,2026-07-17 05:32:29.397421+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_ba237dbdad944b8b,TEST,OPEN,2026-07-17 05:32:29.325215+00,0.5500,-0.7297,162.16,0.5050,2
ase_pt_8e69571ed93942dd,TEST,OPEN,2026-07-17 05:32:29.181492+00,0.5500,-3.4584,972.84,0.5050,4
ase_pt_3fc17c17f0ee41d0,TEST,OPEN,2026-07-17 05:32:28.948253+00,0.5500,0.3838,74.09,0.7050,3
ase_pt_c41a7642575b484e,TEST,OPEN,2026-07-17 05:32:28.872713+00,0.5500,97.7666,861.10,0.7050,2
ase_pt_323b41a676d94132,TEST,OPEN,2026-07-17 05:32:28.790263+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_deec57d13d8148c3,TEST,OPEN,2026-07-17 05:32:28.261906+00,0.5500,-0.7297,162.16,0.5050,2
ase_pt_01bff1e9f1a94d9b,TEST,OPEN,2026-07-17 05:32:28.151346+00,0.5500,102.9914,671.43,0.7050,2
ase_pt_668c2de047b24014,TEST,OPEN,2026-07-17 05:32:27.98871+00,0.5500,-2.7994,937.74,0.5050,4
ase_pt_13f1551ef56f423a,TEST,OPEN,2026-07-17 05:32:27.720149+00,0.5500,1.6168,86.51,0.7050,4
ase_pt_52ee7c4cf21442b2,TEST,OPEN,2026-07-17 05:32:27.577258+00,0.5500,2.7705,46.90,0.7050,2
ase_pt_98831dcb66714fbe,TEST,OPEN,2026-07-17 05:32:27.487919+00,0.5500,1.7339,21.86,0.7050,2
ase_pt_afbccbf809824372,TEST,OPEN,2026-07-17 05:32:27.423364+00,0.5500,3.6276,466.64,0.7050,4
ase_pt_b18fa90299b1435f,TEST,OPEN,2026-07-17 05:32:27.193896+00,0.5500,-2.1196,1041.36,0.5050,4
ase_pt_41a973774616430c,TEST,OPEN,2026-07-17 05:32:27.118763+00,0.5500,-2.4106,761.36,0.5050,4
ase_pt_c63b5ebecfbb40ba,TEST,OPEN,2026-07-17 05:32:26.876085+00,0.5500,1.3928,83.72,0.7050,3
ase_pt_ba89af7af8ba4e0a,TEST,OPEN,2026-07-17 05:32:26.781666+00,0.5500,1.3928,83.72,0.7050,3
ase_pt_392c2cc71b23483b,TEST,OPEN,2026-07-17 05:32:26.298649+00,0.5500,39.7884,950.81,0.7050,2
ase_pt_b82b26af17754238,TEST,OPEN,2026-07-17 05:32:26.21513+00,0.5500,102.8397,429.07,0.7050,2
