id,paper_trade_id,asset_type,buy_or_sell,mid,strike,expiration,ratio,delta
9,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,OPTION,BUY,3.2000,95.0000,,1,
10,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,OPTION,SELL,1.1000,105.0000,,1,
11,1d29561d-5b13-4486-8cc9-f051b26656f9,OPTION,BUY,3.2000,95.0000,,1,
12,1d29561d-5b13-4486-8cc9-f051b26656f9,OPTION,SELL,1.1000,105.0000,,1,
13,36606418-e378-45a2-87b3-b2959cd9988f,OPTION,BUY,3.2000,95.0000,,1,
14,36606418-e378-45a2-87b3-b2959cd9988f,OPTION,SELL,1.1000,105.0000,,1,
15,7965de94-34d8-4491-81d7-0c88772f5308,OPTION,BUY,3.2000,95.0000,,1,
16,7965de94-34d8-4491-81d7-0c88772f5308,OPTION,SELL,1.1000,105.0000,,1,
17,84263723-68b6-4b8b-8829-238f462538aa,OPTION,BUY,3.2000,95.0000,,1,
18,84263723-68b6-4b8b-8829-238f462538aa,OPTION,SELL,1.1000,105.0000,,1,
19,33a502ce-2ae8-43dc-8710-5ca457e9eee8,OPTION,BUY,3.2000,95.0000,,1,
20,33a502ce-2ae8-43dc-8710-5ca457e9eee8,OPTION,SELL,1.1000,105.0000,,1,
21,24ea4da9-5c39-4871-8f1d-7e0212849731,OPTION,BUY,3.2000,95.0000,,1,
22,24ea4da9-5c39-4871-8f1d-7e0212849731,OPTION,SELL,1.1000,105.0000,,1,
23,8089be1d-7f58-4384-8d00-cf16ee52359e,OPTION,BUY,3.2000,95.0000,,1,
24,8089be1d-7f58-4384-8d00-cf16ee52359e,OPTION,SELL,1.1000,105.0000,,1,
25,3944b42c-70ef-4058-badb-a64c343f05e2,OPTION,BUY,3.2000,95.0000,,1,
26,3944b42c-70ef-4058-badb-a64c343f05e2,OPTION,SELL,1.1000,105.0000,,1,
27,ase_pt_426097d373aa4fbd,CALL,LONG,6.0000,95.0000,2026-09-19,1,0.6200
28,ase_pt_426097d373aa4fbd,CALL,SHORT,2.0000,105.0000,2026-09-19,1,0.3800
29,ase_pt_6083b99595c94b37,CALL,LONG,6.0000,95.0000,2026-09-19,1,0.6200
30,ase_pt_6083b99595c94b37,CALL,SHORT,2.0000,105.0000,2026-09-19,1,0.3800
31,ase_pt_3bda863231e14809,CALL,LONG,6.0000,95.0000,2026-09-19,1,0.6200
32,ase_pt_3bda863231e14809,CALL,SHORT,2.0000,105.0000,2026-09-19,1,0.3800
33,ase_pt_ecffd21d1e71478d,CALL,LONG,8.0000,170.0000,2026-08-21,1,0.5800
34,ase_pt_ecffd21d1e71478d,CALL,SHORT,2.3000,185.0000,2026-08-21,1,0.2800
35,ase_pt_99857ff17e444244,CALL,LONG,7.2500,175.0000,2026-08-21,1,0.5500
36,ase_pt_9348885232d04d4e,CALL,LONG,9.7500,170.0000,2026-08-21,1,0.6200
37,ase_pt_9348885232d04d4e,CALL,SHORT,1.8000,190.0000,2026-08-21,1,0.2200
38,ase_pt_e93e30f16e154e46,PUT,LONG,8.3000,180.0000,2026-08-21,1,-0.5800
39,ase_pt_e93e30f16e154e46,PUT,SHORT,1.4000,160.0000,2026-08-21,1,-0.1800
40,ase_pt_556516fdaa6346da,CALL,SHORT,6.0000,175.0000,2026-08-21,1,0.5000
41,ase_pt_556516fdaa6346da,CALL,LONG,8.2500,175.0000,2026-09-18,1,0.5200
42,ase_pt_50cee139dd5f4d1b,CALL,SHORT,3.7000,180.0000,2026-08-21,1,0.3800
43,ase_pt_50cee139dd5f4d1b,CALL,LONG,9.3000,170.0000,2026-09-18,1,0.6000
44,ase_pt_dc09b5d14ef44603,CALL,LONG,12.7500,165.0000,2026-08-21,1,0.7200
45,ase_pt_dc09b5d14ef44603,CALL,SHORT,6.2000,175.0000,2026-08-21,2,0.5000
46,ase_pt_dc09b5d14ef44603,CALL,LONG,2.3000,185.0000,2026-08-21,1,0.2800
47,ase_pt_341bcf3e6977437d,PUT,SHORT,1.6000,155.0000,2026-08-21,1,-0.2200
48,ase_pt_341bcf3e6977437d,PUT,LONG,0.6800,145.0000,2026-08-21,1,-0.1200
49,ase_pt_341bcf3e6977437d,CALL,SHORT,1.7000,195.0000,2026-08-21,1,0.2000
50,ase_pt_341bcf3e6977437d,CALL,LONG,0.7300,205.0000,2026-08-21,1,0.1100
51,ase_pt_f417c1e1b7594d6f,CALL,LONG,6.0000,175.0000,2026-08-21,1,0.5000
52,ase_pt_f417c1e1b7594d6f,PUT,LONG,6.0000,175.0000,2026-08-21,1,-0.5000
53,ase_pt_fe5c39faa9ff45bb,CALL,SHORT,6.0000,175.0000,2026-08-21,1,0.5000
54,ase_pt_fe5c39faa9ff45bb,CALL,LONG,2.2000,185.0000,2026-08-21,2,0.2800
55,ase_pt_1c70e2ed36e748c0,CALL,LONG,1.0500,195.0000,2026-08-21,1,0.1800
56,ase_pt_1c70e2ed36e748c0,PUT,SHORT,2.6000,165.0000,2026-08-21,1,-0.2800
