id,paper_trade_id,asset_type,buy_or_sell,mid,strike,expiration
9,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,OPTION,BUY,3.2000,95.0000,
11,1d29561d-5b13-4486-8cc9-f051b26656f9,OPTION,BUY,3.2000,95.0000,
13,36606418-e378-45a2-87b3-b2959cd9988f,OPTION,BUY,3.2000,95.0000,
15,7965de94-34d8-4491-81d7-0c88772f5308,OPTION,BUY,3.2000,95.0000,
17,84263723-68b6-4b8b-8829-238f462538aa,OPTION,BUY,3.2000,95.0000,
19,33a502ce-2ae8-43dc-8710-5ca457e9eee8,OPTION,BUY,3.2000,95.0000,
21,24ea4da9-5c39-4871-8f1d-7e0212849731,OPTION,BUY,3.2000,95.0000,
23,8089be1d-7f58-4384-8d00-cf16ee52359e,OPTION,BUY,3.2000,95.0000,
25,3944b42c-70ef-4058-badb-a64c343f05e2,OPTION,BUY,3.2000,95.0000,
27,ase_pt_426097d373aa4fbd,CALL,LONG,6.0000,95.0000,2026-09-19
29,ase_pt_6083b99595c94b37,CALL,LONG,6.0000,95.0000,2026-09-19
31,ase_pt_3bda863231e14809,CALL,LONG,6.0000,95.0000,2026-09-19
33,ase_pt_ecffd21d1e71478d,CALL,LONG,8.0000,170.0000,2026-08-21
35,ase_pt_99857ff17e444244,CALL,LONG,7.2500,175.0000,2026-08-21
36,ase_pt_9348885232d04d4e,CALL,LONG,9.7500,170.0000,2026-08-21
38,ase_pt_e93e30f16e154e46,PUT,LONG,8.3000,180.0000,2026-08-21
41,ase_pt_556516fdaa6346da,CALL,LONG,8.2500,175.0000,2026-09-18
43,ase_pt_50cee139dd5f4d1b,CALL,LONG,9.3000,170.0000,2026-09-18
44,ase_pt_dc09b5d14ef44603,CALL,LONG,12.7500,165.0000,2026-08-21
46,ase_pt_dc09b5d14ef44603,CALL,LONG,2.3000,185.0000,2026-08-21
48,ase_pt_341bcf3e6977437d,PUT,LONG,0.6800,145.0000,2026-08-21
50,ase_pt_341bcf3e6977437d,CALL,LONG,0.7300,205.0000,2026-08-21
51,ase_pt_f417c1e1b7594d6f,CALL,LONG,6.0000,175.0000,2026-08-21
52,ase_pt_f417c1e1b7594d6f,PUT,LONG,6.0000,175.0000,2026-08-21
54,ase_pt_fe5c39faa9ff45bb,CALL,LONG,2.2000,185.0000,2026-08-21
55,ase_pt_1c70e2ed36e748c0,CALL,LONG,1.0500,195.0000,2026-08-21
57,ase_pt_1c70e2ed36e748c0,PUT,LONG,1.1500,155.0000,2026-08-21
58,ase_pt_c07afef2857d49ed,CALL,LONG,8.0000,170.0000,2026-08-21
60,ase_pt_35fc776144e54a4b,CALL,LONG,7.2500,175.0000,2026-08-21
61,ase_pt_06792981111b4143,CALL,LONG,9.7500,170.0000,2026-08-21
63,ase_pt_f90caba5eb23474c,PUT,LONG,8.3000,180.0000,2026-08-21
66,ase_pt_117a109ec5dd4070,CALL,LONG,8.2500,175.0000,2026-09-18
68,ase_pt_16386550e4ec40a8,CALL,LONG,9.3000,170.0000,2026-09-18
69,ase_pt_bf1cf12068b3467c,CALL,LONG,12.7500,165.0000,2026-08-21
71,ase_pt_bf1cf12068b3467c,CALL,LONG,2.3000,185.0000,2026-08-21
73,ase_pt_bdd79945f43049f0,PUT,LONG,0.6800,145.0000,2026-08-21
75,ase_pt_bdd79945f43049f0,CALL,LONG,0.7300,205.0000,2026-08-21
