id,paper_trade_id,asset_type,buy_or_sell,mid,strike,expiration
10,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,OPTION,SELL,1.1000,105.0000,
12,1d29561d-5b13-4486-8cc9-f051b26656f9,OPTION,SELL,1.1000,105.0000,
14,36606418-e378-45a2-87b3-b2959cd9988f,OPTION,SELL,1.1000,105.0000,
16,7965de94-34d8-4491-81d7-0c88772f5308,OPTION,SELL,1.1000,105.0000,
18,84263723-68b6-4b8b-8829-238f462538aa,OPTION,SELL,1.1000,105.0000,
20,33a502ce-2ae8-43dc-8710-5ca457e9eee8,OPTION,SELL,1.1000,105.0000,
22,24ea4da9-5c39-4871-8f1d-7e0212849731,OPTION,SELL,1.1000,105.0000,
24,8089be1d-7f58-4384-8d00-cf16ee52359e,OPTION,SELL,1.1000,105.0000,
26,3944b42c-70ef-4058-badb-a64c343f05e2,OPTION,SELL,1.1000,105.0000,
28,ase_pt_426097d373aa4fbd,CALL,SHORT,2.0000,105.0000,2026-09-19
30,ase_pt_6083b99595c94b37,CALL,SHORT,2.0000,105.0000,2026-09-19
32,ase_pt_3bda863231e14809,CALL,SHORT,2.0000,105.0000,2026-09-19
34,ase_pt_ecffd21d1e71478d,CALL,SHORT,2.3000,185.0000,2026-08-21
37,ase_pt_9348885232d04d4e,CALL,SHORT,1.8000,190.0000,2026-08-21
39,ase_pt_e93e30f16e154e46,PUT,SHORT,1.4000,160.0000,2026-08-21
40,ase_pt_556516fdaa6346da,CALL,SHORT,6.0000,175.0000,2026-08-21
42,ase_pt_50cee139dd5f4d1b,CALL,SHORT,3.7000,180.0000,2026-08-21
45,ase_pt_dc09b5d14ef44603,CALL,SHORT,6.2000,175.0000,2026-08-21
47,ase_pt_341bcf3e6977437d,PUT,SHORT,1.6000,155.0000,2026-08-21
49,ase_pt_341bcf3e6977437d,CALL,SHORT,1.7000,195.0000,2026-08-21
53,ase_pt_fe5c39faa9ff45bb,CALL,SHORT,6.0000,175.0000,2026-08-21
56,ase_pt_1c70e2ed36e748c0,PUT,SHORT,2.6000,165.0000,2026-08-21
59,ase_pt_c07afef2857d49ed,CALL,SHORT,2.3000,185.0000,2026-08-21
62,ase_pt_06792981111b4143,CALL,SHORT,1.8000,190.0000,2026-08-21
64,ase_pt_f90caba5eb23474c,PUT,SHORT,1.4000,160.0000,2026-08-21
65,ase_pt_117a109ec5dd4070,CALL,SHORT,6.0000,175.0000,2026-08-21
67,ase_pt_16386550e4ec40a8,CALL,SHORT,3.7000,180.0000,2026-08-21
70,ase_pt_bf1cf12068b3467c,CALL,SHORT,6.2000,175.0000,2026-08-21
72,ase_pt_bdd79945f43049f0,PUT,SHORT,1.6000,155.0000,2026-08-21
74,ase_pt_bdd79945f43049f0,CALL,SHORT,1.7000,195.0000,2026-08-21
78,ase_pt_f03d8213adaf4693,CALL,SHORT,6.0000,175.0000,2026-08-21
