id,paper_trade_id,buy_or_sell,asset_type,delta
1072,ase_pt_bbb2af4febbf44fa,LONG,CALL,0.8000
432,ase_pt_e5ccc8f977734766,LONG,CALL,0.8000
1550,ase_pt_4e6c3823a6db41fb,LONG,CALL,0.8000
1870,ase_pt_6c35449f5e404fff,LONG,CALL,0.8000
752,ase_pt_1b16a124b3174a1d,LONG,CALL,0.8000
1395,ase_pt_d2121d0c26e647d3,LONG,CALL,0.8000
112,ase_pt_09120c21e9ab423c,LONG,CALL,0.8000
44,ase_pt_dc09b5d14ef44603,LONG,CALL,0.7200
94,ase_pt_bacc84d4772d447c,LONG,CALL,0.7200
69,ase_pt_bf1cf12068b3467c,LONG,CALL,0.7200
198,ase_pt_56ec12c833d3410d,LONG,CALL,0.7000
1552,ase_pt_c9cf1e5947bb4752,LONG,CALL,0.7000
1393,ase_pt_1353d127f4e04c38,LONG,CALL,0.7000
754,ase_pt_26b9a78175254dcd,LONG,CALL,0.7000
434,ase_pt_3b1a8014c6fc4dd2,LONG,CALL,0.7000
1872,ase_pt_835d7f1f28f84c85,LONG,CALL,0.7000
430,ase_pt_a9753a5b1a1b4f5e,LONG,CALL,0.7000
1397,ase_pt_e2f99181fe884443,LONG,CALL,0.7000
1481,ase_pt_7535e14a6e124d94,LONG,CALL,0.7000
114,ase_pt_2131ca79b52849e6,LONG,CALL,0.7000
110,ase_pt_3795820de110476a,LONG,CALL,0.7000
1548,ase_pt_2eb7fcfa021b40e9,LONG,CALL,0.7000
750,ase_pt_172a972a10174266,LONG,CALL,0.7000
1636,ase_pt_c66cffc7f7554a9e,LONG,CALL,0.7000
1868,ase_pt_b52bfbe48bc7409c,LONG,CALL,0.7000
1956,ase_pt_6c43af51552e48ae,LONG,CALL,0.7000
838,ase_pt_6bb95b5aa7244b82,LONG,CALL,0.7000
1070,ase_pt_974bac188a97487c,LONG,CALL,0.7000
1074,ase_pt_baad41bd56d44e0e,LONG,CALL,0.7000
518,ase_pt_25ab7424444f4a89,LONG,CALL,0.7000
1158,ase_pt_16c1472721674c76,LONG,CALL,0.7000
1390,ase_pt_45331c229b7c4d18,LONG,CALL,0.7000
580,ase_pt_795a4febeaa54a0d,LONG,CALL,0.6500
1928,ase_pt_0341f5cb79124671,SHORT,CALL,0.6500
491,ase_pt_18be7899a17a4176,LONG,CALL,0.6500
490,ase_pt_18be7899a17a4176,SHORT,CALL,0.6500
1878,ase_pt_8dc0c46744d64953,LONG,CALL,0.6500
440,ase_pt_161362eb9c554659,LONG,CALL,0.6500
260,ase_pt_d6e7b562298d4374,LONG,CALL,0.6500
1698,ase_pt_857897d4d0ff4f19,LONG,CALL,0.6500
1609,ase_pt_8b4dd53a96554dfd,LONG,CALL,0.6500
1608,ase_pt_8b4dd53a96554dfd,SHORT,CALL,0.6500
1558,ase_pt_5a6ff0d6be8e48cc,LONG,CALL,0.6500
1543,ase_pt_d44e9670399c408a,LONG,CALL,0.6500
