id,paper_trade_id,ratio,buy_or_sell,asset_type
11,1d29561d-5b13-4486-8cc9-f051b26656f9,1,BUY,OPTION
12,1d29561d-5b13-4486-8cc9-f051b26656f9,1,SELL,OPTION
21,24ea4da9-5c39-4871-8f1d-7e0212849731,1,BUY,OPTION
22,24ea4da9-5c39-4871-8f1d-7e0212849731,1,SELL,OPTION
19,33a502ce-2ae8-43dc-8710-5ca457e9eee8,1,BUY,OPTION
20,33a502ce-2ae8-43dc-8710-5ca457e9eee8,1,SELL,OPTION
13,36606418-e378-45a2-87b3-b2959cd9988f,1,BUY,OPTION
14,36606418-e378-45a2-87b3-b2959cd9988f,1,SELL,OPTION
25,3944b42c-70ef-4058-badb-a64c343f05e2,1,BUY,OPTION
26,3944b42c-70ef-4058-badb-a64c343f05e2,1,SELL,OPTION
15,7965de94-34d8-4491-81d7-0c88772f5308,1,BUY,OPTION
16,7965de94-34d8-4491-81d7-0c88772f5308,1,SELL,OPTION
23,8089be1d-7f58-4384-8d00-cf16ee52359e,1,BUY,OPTION
24,8089be1d-7f58-4384-8d00-cf16ee52359e,1,SELL,OPTION
17,84263723-68b6-4b8b-8829-238f462538aa,1,BUY,OPTION
18,84263723-68b6-4b8b-8829-238f462538aa,1,SELL,OPTION
241,ase_pt_001f7af9440e43f5,1,LONG,PUT
242,ase_pt_001f7af9440e43f5,2,SHORT,PUT
243,ase_pt_001f7af9440e43f5,1,LONG,PUT
699,ase_pt_004a747141f34b53,1,LONG,CALL
700,ase_pt_004a747141f34b53,1,SHORT,CALL
720,ase_pt_007d3f1af7e84a77,1,LONG,PUT
721,ase_pt_007d3f1af7e84a77,1,SHORT,PUT
214,ase_pt_00a319c736ae4b1d,1,LONG,CALL
215,ase_pt_00a319c736ae4b1d,1,LONG,PUT
2030,ase_pt_00aa4dfd26224440,1,LONG,CALL
2031,ase_pt_00aa4dfd26224440,2,SHORT,CALL
2032,ase_pt_00aa4dfd26224440,1,LONG,CALL
1286,ase_pt_00ab5dd704f449f7,1,SHORT,PUT
1287,ase_pt_00ab5dd704f449f7,1,SHORT,CALL
1288,ase_pt_00ab5dd704f449f7,1,LONG,PUT
1289,ase_pt_00ab5dd704f449f7,1,LONG,CALL
766,ase_pt_00b9fcf63ec84443,1,SHORT,CALL
767,ase_pt_00b9fcf63ec84443,1,LONG,CALL
2122,ase_pt_01bff1e9f1a94d9b,1,LONG,CALL
2123,ase_pt_01bff1e9f1a94d9b,1,LONG,PUT
1756,ase_pt_01cb82e33a8c4e04,1,LONG,PUT
1757,ase_pt_01cb82e33a8c4e04,1,SHORT,PUT
