paper_trade_id,leg_count
1d29561d-5b13-4486-8cc9-f051b26656f9,2
24ea4da9-5c39-4871-8f1d-7e0212849731,2
33a502ce-2ae8-43dc-8710-5ca457e9eee8,2
36606418-e378-45a2-87b3-b2959cd9988f,2
3944b42c-70ef-4058-badb-a64c343f05e2,2
7965de94-34d8-4491-81d7-0c88772f5308,2
8089be1d-7f58-4384-8d00-cf16ee52359e,2
84263723-68b6-4b8b-8829-238f462538aa,2
ase_pt_001f7af9440e43f5,3
ase_pt_004a747141f34b53,2
ase_pt_007d3f1af7e84a77,2
ase_pt_00a319c736ae4b1d,2
ase_pt_00aa4dfd26224440,3
ase_pt_00ab5dd704f449f7,4
ase_pt_00b9fcf63ec84443,2
ase_pt_01bff1e9f1a94d9b,2
ase_pt_01cb82e33a8c4e04,4
ase_pt_01eead446acc456b,4
ase_pt_01fef25551624710,2
ase_pt_02879b05ff214e47,1
ase_pt_02d0d9913754443c,3
ase_pt_02fefa8de1fa4313,3
ase_pt_033247baa7c14f4a,4
ase_pt_0341f5cb79124671,2
ase_pt_03849d666efe4824,3
ase_pt_03e63508f3af489f,2
ase_pt_0410e0d5f8af4361,1
ase_pt_046547bd9a204f91,2
ase_pt_04f4c3ecbe4a4039,2
ase_pt_06138b3b65da4af9,4
ase_pt_06792981111b4143,2
ase_pt_0696a7501e5a4b86,2
ase_pt_06edc199b341480c,4
ase_pt_071adb86c61641aa,6
ase_pt_071c68cb9fa54058,4
ase_pt_071dfaed07c840a7,2
ase_pt_072a3bfdbe32476a,2
ase_pt_072d99d8825b437b,2
ase_pt_07b1b4e5014545b3,4
ase_pt_07bdcfff5f604dac,2
ase_pt_08179cf977334df3,2
ase_pt_085f5f6f88514de6,1
ase_pt_0910e43b7e134256,8
ase_pt_09120c21e9ab423c,1
ase_pt_0a828b9ce657480c,2
ase_pt_0b70f91107a2450c,2
ase_pt_0b933a575f704d7e,3
ase_pt_0ba8a78cd5cc44df,2
ase_pt_0c5895db0d4c4a51,4
ase_pt_0c9b4327f85a4179,5
ase_pt_0dc66601fbd449ff,2
ase_pt_0dc88f03b7564659,6
ase_pt_0dd0cca698e3471b,4
ase_pt_0dd30d7452624163,5
ase_pt_0e064b32f2734d4b,2
