id,paper_trade_id,strike,asset_type
9,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,95.0000,OPTION
10,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,105.0000,OPTION
11,1d29561d-5b13-4486-8cc9-f051b26656f9,95.0000,OPTION
12,1d29561d-5b13-4486-8cc9-f051b26656f9,105.0000,OPTION
13,36606418-e378-45a2-87b3-b2959cd9988f,95.0000,OPTION
14,36606418-e378-45a2-87b3-b2959cd9988f,105.0000,OPTION
15,7965de94-34d8-4491-81d7-0c88772f5308,95.0000,OPTION
16,7965de94-34d8-4491-81d7-0c88772f5308,105.0000,OPTION
17,84263723-68b6-4b8b-8829-238f462538aa,95.0000,OPTION
18,84263723-68b6-4b8b-8829-238f462538aa,105.0000,OPTION
19,33a502ce-2ae8-43dc-8710-5ca457e9eee8,95.0000,OPTION
20,33a502ce-2ae8-43dc-8710-5ca457e9eee8,105.0000,OPTION
21,24ea4da9-5c39-4871-8f1d-7e0212849731,95.0000,OPTION
22,24ea4da9-5c39-4871-8f1d-7e0212849731,105.0000,OPTION
23,8089be1d-7f58-4384-8d00-cf16ee52359e,95.0000,OPTION
24,8089be1d-7f58-4384-8d00-cf16ee52359e,105.0000,OPTION
25,3944b42c-70ef-4058-badb-a64c343f05e2,95.0000,OPTION
26,3944b42c-70ef-4058-badb-a64c343f05e2,105.0000,OPTION
27,ase_pt_426097d373aa4fbd,95.0000,CALL
28,ase_pt_426097d373aa4fbd,105.0000,CALL
29,ase_pt_6083b99595c94b37,95.0000,CALL
30,ase_pt_6083b99595c94b37,105.0000,CALL
31,ase_pt_3bda863231e14809,95.0000,CALL
32,ase_pt_3bda863231e14809,105.0000,CALL
33,ase_pt_ecffd21d1e71478d,170.0000,CALL
34,ase_pt_ecffd21d1e71478d,185.0000,CALL
35,ase_pt_99857ff17e444244,175.0000,CALL
36,ase_pt_9348885232d04d4e,170.0000,CALL
37,ase_pt_9348885232d04d4e,190.0000,CALL
38,ase_pt_e93e30f16e154e46,180.0000,PUT
39,ase_pt_e93e30f16e154e46,160.0000,PUT
40,ase_pt_556516fdaa6346da,175.0000,CALL
41,ase_pt_556516fdaa6346da,175.0000,CALL
42,ase_pt_50cee139dd5f4d1b,180.0000,CALL
43,ase_pt_50cee139dd5f4d1b,170.0000,CALL
44,ase_pt_dc09b5d14ef44603,165.0000,CALL
45,ase_pt_dc09b5d14ef44603,175.0000,CALL
46,ase_pt_dc09b5d14ef44603,185.0000,CALL
47,ase_pt_341bcf3e6977437d,155.0000,PUT
48,ase_pt_341bcf3e6977437d,145.0000,PUT
49,ase_pt_341bcf3e6977437d,195.0000,CALL
50,ase_pt_341bcf3e6977437d,205.0000,CALL
51,ase_pt_f417c1e1b7594d6f,175.0000,CALL
52,ase_pt_f417c1e1b7594d6f,175.0000,PUT
53,ase_pt_fe5c39faa9ff45bb,175.0000,CALL
54,ase_pt_fe5c39faa9ff45bb,185.0000,CALL
55,ase_pt_1c70e2ed36e748c0,195.0000,CALL
56,ase_pt_1c70e2ed36e748c0,165.0000,PUT
57,ase_pt_1c70e2ed36e748c0,155.0000,PUT
58,ase_pt_c07afef2857d49ed,170.0000,CALL
59,ase_pt_c07afef2857d49ed,185.0000,CALL
60,ase_pt_35fc776144e54a4b,175.0000,CALL
61,ase_pt_06792981111b4143,170.0000,CALL
62,ase_pt_06792981111b4143,190.0000,CALL
63,ase_pt_f90caba5eb23474c,180.0000,PUT
64,ase_pt_f90caba5eb23474c,160.0000,PUT
65,ase_pt_117a109ec5dd4070,175.0000,CALL
66,ase_pt_117a109ec5dd4070,175.0000,CALL
67,ase_pt_16386550e4ec40a8,180.0000,CALL
68,ase_pt_16386550e4ec40a8,170.0000,CALL
69,ase_pt_bf1cf12068b3467c,165.0000,CALL
70,ase_pt_bf1cf12068b3467c,175.0000,CALL
71,ase_pt_bf1cf12068b3467c,185.0000,CALL
72,ase_pt_bdd79945f43049f0,155.0000,PUT
73,ase_pt_bdd79945f43049f0,145.0000,PUT
74,ase_pt_bdd79945f43049f0,195.0000,CALL
75,ase_pt_bdd79945f43049f0,205.0000,CALL
76,ase_pt_c9285bac7ab4456a,175.0000,CALL
77,ase_pt_c9285bac7ab4456a,175.0000,PUT
78,ase_pt_f03d8213adaf4693,175.0000,CALL
79,ase_pt_f03d8213adaf4693,185.0000,CALL
80,ase_pt_6cb43827aca54901,195.0000,CALL
81,ase_pt_6cb43827aca54901,165.0000,PUT
82,ase_pt_6cb43827aca54901,155.0000,PUT
83,ase_pt_425af45e774a4d75,170.0000,CALL
84,ase_pt_425af45e774a4d75,185.0000,CALL
85,ase_pt_f81f75f7f93c45bd,175.0000,CALL
86,ase_pt_128484047a824332,170.0000,CALL
87,ase_pt_128484047a824332,190.0000,CALL
88,ase_pt_ea65248f920c4afd,180.0000,PUT
89,ase_pt_ea65248f920c4afd,160.0000,PUT
90,ase_pt_0b70f91107a2450c,175.0000,CALL
91,ase_pt_0b70f91107a2450c,175.0000,CALL
92,ase_pt_14f3d29356e1406e,180.0000,CALL
93,ase_pt_14f3d29356e1406e,170.0000,CALL
94,ase_pt_bacc84d4772d447c,165.0000,CALL
95,ase_pt_bacc84d4772d447c,175.0000,CALL
96,ase_pt_bacc84d4772d447c,185.0000,CALL
97,ase_pt_d08c204af0aa4d79,155.0000,PUT
98,ase_pt_d08c204af0aa4d79,145.0000,PUT
99,ase_pt_d08c204af0aa4d79,195.0000,CALL
100,ase_pt_d08c204af0aa4d79,205.0000,CALL
101,ase_pt_413ea62f4d2f4494,175.0000,CALL
102,ase_pt_413ea62f4d2f4494,175.0000,PUT
103,ase_pt_441256588f4a4d41,175.0000,CALL
104,ase_pt_441256588f4a4d41,185.0000,CALL
105,ase_pt_e5231e71990f4568,195.0000,CALL
106,ase_pt_e5231e71990f4568,165.0000,PUT
107,ase_pt_e5231e71990f4568,155.0000,PUT
108,ase_pt_31a61421b62646dc,102.5800,CALL
109,ase_pt_82123c62b1164c60,102.5800,PUT
110,ase_pt_3795820de110476a,89.3800,CALL
111,ase_pt_b81ee0040f7d4f04,89.3800,PUT
112,ase_pt_09120c21e9ab423c,93.3600,CALL
113,ase_pt_5777f328ee784956,93.3600,PUT
114,ase_pt_2131ca79b52849e6,89.3800,CALL
115,ase_pt_2131ca79b52849e6,105.0000,CALL
116,ase_pt_426a457a5c514b82,89.3800,PUT
117,ase_pt_426a457a5c514b82,105.0000,PUT
