id,paper_trade_id,mid_status,delta_status,ratio_status
9,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,NOT NULL,NULL,NOT NULL
10,f7df3c4f-0f5a-4373-b3a1-4de21f8810af,NOT NULL,NULL,NOT NULL
11,1d29561d-5b13-4486-8cc9-f051b26656f9,NOT NULL,NULL,NOT NULL
12,1d29561d-5b13-4486-8cc9-f051b26656f9,NOT NULL,NULL,NOT NULL
13,36606418-e378-45a2-87b3-b2959cd9988f,NOT NULL,NULL,NOT NULL
14,36606418-e378-45a2-87b3-b2959cd9988f,NOT NULL,NULL,NOT NULL
15,7965de94-34d8-4491-81d7-0c88772f5308,NOT NULL,NULL,NOT NULL
16,7965de94-34d8-4491-81d7-0c88772f5308,NOT NULL,NULL,NOT NULL
17,84263723-68b6-4b8b-8829-238f462538aa,NOT NULL,NULL,NOT NULL
18,84263723-68b6-4b8b-8829-238f462538aa,NOT NULL,NULL,NOT NULL
19,33a502ce-2ae8-43dc-8710-5ca457e9eee8,NOT NULL,NULL,NOT NULL
20,33a502ce-2ae8-43dc-8710-5ca457e9eee8,NOT NULL,NULL,NOT NULL
21,24ea4da9-5c39-4871-8f1d-7e0212849731,NOT NULL,NULL,NOT NULL
22,24ea4da9-5c39-4871-8f1d-7e0212849731,NOT NULL,NULL,NOT NULL
23,8089be1d-7f58-4384-8d00-cf16ee52359e,NOT NULL,NULL,NOT NULL
24,8089be1d-7f58-4384-8d00-cf16ee52359e,NOT NULL,NULL,NOT NULL
25,3944b42c-70ef-4058-badb-a64c343f05e2,NOT NULL,NULL,NOT NULL
26,3944b42c-70ef-4058-badb-a64c343f05e2,NOT NULL,NULL,NOT NULL
27,ase_pt_426097d373aa4fbd,NOT NULL,NOT NULL,NOT NULL
28,ase_pt_426097d373aa4fbd,NOT NULL,NOT NULL,NOT NULL
29,ase_pt_6083b99595c94b37,NOT NULL,NOT NULL,NOT NULL
30,ase_pt_6083b99595c94b37,NOT NULL,NOT NULL,NOT NULL
31,ase_pt_3bda863231e14809,NOT NULL,NOT NULL,NOT NULL
32,ase_pt_3bda863231e14809,NOT NULL,NOT NULL,NOT NULL
33,ase_pt_ecffd21d1e71478d,NOT NULL,NOT NULL,NOT NULL
34,ase_pt_ecffd21d1e71478d,NOT NULL,NOT NULL,NOT NULL
35,ase_pt_99857ff17e444244,NOT NULL,NOT NULL,NOT NULL
36,ase_pt_9348885232d04d4e,NOT NULL,NOT NULL,NOT NULL
37,ase_pt_9348885232d04d4e,NOT NULL,NOT NULL,NOT NULL
38,ase_pt_e93e30f16e154e46,NOT NULL,NOT NULL,NOT NULL
39,ase_pt_e93e30f16e154e46,NOT NULL,NOT NULL,NOT NULL
40,ase_pt_556516fdaa6346da,NOT NULL,NOT NULL,NOT NULL
41,ase_pt_556516fdaa6346da,NOT NULL,NOT NULL,NOT NULL
42,ase_pt_50cee139dd5f4d1b,NOT NULL,NOT NULL,NOT NULL
43,ase_pt_50cee139dd5f4d1b,NOT NULL,NOT NULL,NOT NULL
44,ase_pt_dc09b5d14ef44603,NOT NULL,NOT NULL,NOT NULL
45,ase_pt_dc09b5d14ef44603,NOT NULL,NOT NULL,NOT NULL
46,ase_pt_dc09b5d14ef44603,NOT NULL,NOT NULL,NOT NULL
47,ase_pt_341bcf3e6977437d,NOT NULL,NOT NULL,NOT NULL
48,ase_pt_341bcf3e6977437d,NOT NULL,NOT NULL,NOT NULL
49,ase_pt_341bcf3e6977437d,NOT NULL,NOT NULL,NOT NULL
50,ase_pt_341bcf3e6977437d,NOT NULL,NOT NULL,NOT NULL
51,ase_pt_f417c1e1b7594d6f,NOT NULL,NOT NULL,NOT NULL
52,ase_pt_f417c1e1b7594d6f,NOT NULL,NOT NULL,NOT NULL
53,ase_pt_fe5c39faa9ff45bb,NOT NULL,NOT NULL,NOT NULL
54,ase_pt_fe5c39faa9ff45bb,NOT NULL,NOT NULL,NOT NULL
55,ase_pt_1c70e2ed36e748c0,NOT NULL,NOT NULL,NOT NULL
56,ase_pt_1c70e2ed36e748c0,NOT NULL,NOT NULL,NOT NULL
