ticker,source,old_conv_score,new_conv_score,stop_dist_pct,old_notional,new_notional,delta_notional,mult_old,mult_new,note
SIF,aiem_v3_discovery,40.96,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
SLN,aiem_v3_discovery,40.96,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
INLF,gap_volume,276.43,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
PN,gap_volume,6638.32,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
AMAT,unusual_calls,29.54,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
AMD,unusual_calls,56.67,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
ASTS,unusual_calls,93.33,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
ASTS,oi_buildup,5.18,5.18,8.0,1306.06,1306.25,0.19,0.5225,0.5225,fallback_min9
QTTB,layer9_stat,10.59,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
FCEL,oi_buildup,16.49,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
EOSE,oi_buildup,21.74,8.0,8.0,2500.0,2187.5,-312.5,1.0,0.875,CSW_hit_snap=2026-07-28
DRCT,gap_volume,52.58,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
CNF,gap_volume,172.59,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
SDOT,gap_volume,344.72,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
SNDK,unusual_calls,729.64,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
QTTB,layer9_stat,13.7,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
MU,unusual_calls,241.43,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
CRMT,gap_volume,565.6,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
BMGL,gap_volume,962.02,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
NVDA,unusual_calls,9507.07,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
TCBK,aiem_v3_discovery,47.09,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
QTTB,gap_volume,524.67,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
SPY,unusual_calls,1299.48,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
WDC,unusual_calls,2059.08,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
AGEN,gap_volume,2325.98,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
AMZN,unusual_calls,8020.28,9.0,7.0,2857.14,2857.14,0.0,1.0,1.0,fallback_min9
VEEE,gap_volume,8836.4,9.0,8.0,2500.0,2500.0,0.0,1.0,1.0,fallback_min9
