entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2024-08-12,2024-08-13,533.27,2024-09-06,6xO:SPY240906C00538000 | -6xO:SPY240906P00528000,480.0,4806.0,4326.0,TP_75PCT,6,75,0.0,480.0,Bullish Risk Reversal
2024-08-19,2024-08-21,559.61,2024-09-13,15xO:SPY240913C00565000 | -15xO:SPY240913P00555000,480.0,1950.0,1470.0,TP_75PCT,15,75,0.0,480.0,Bullish Risk Reversal
2024-08-26,2024-08-27,560.79,2024-09-20,1xO:SPY240920C00566000 | -1xO:SPY240920P00556000,-28.0,63.0,91.0,TP_75PCT,1,75,0.0,28.0,Bullish Risk Reversal
2024-09-03,2024-09-11,552.08,2024-09-27,1xO:SPY240927C00557000 | -1xO:SPY240927P00547000,-117.0,88.0,205.0,TP_75PCT,1,75,0.0,117.0,Bullish Risk Reversal
2024-09-09,2024-09-10,546.41,2024-10-04,1xO:SPY241004C00551000 | -1xO:SPY241004P00541000,-97.0,105.0,202.0,TP_75PCT,1,75,0.0,97.0,Bullish Risk Reversal
2024-09-16,2024-09-19,562.84,2024-10-11,1xO:SPY241011C00568000 | -1xO:SPY241011P00558000,-91.0,570.0,661.0,TP_75PCT,1,75,0.0,91.0,Bullish Risk Reversal
2024-09-23,2024-09-24,569.67,2024-10-18,22xO:SPY241018C00575000 | -22xO:SPY241018P00565000,484.0,3124.0,2640.0,TP_75PCT,22,75,0.0,484.0,Bullish Risk Reversal
2024-09-30,2024-10-09,573.76,2024-10-25,38xO:SPY241025C00579000 | -38xO:SPY241025P00569000,494.0,9234.0,8740.0,TP_75PCT,38,75,0.0,494.0,Bullish Risk Reversal
2024-10-07,2024-10-08,567.8,2024-11-01,33xO:SPY241101C00573000 | -33xO:SPY241101P00563000,495.0,15213.0,14718.0,TP_75PCT,33,75,0.0,495.0,Bullish Risk Reversal
2024-10-14,2024-11-06,584.32,2024-11-08,3xO:SPY241108C00589000 | -3xO:SPY241108P00579000,390.0,1188.0,798.0,TP_75PCT,3,75,0.0,390.0,Bullish Risk Reversal
2024-10-21,2024-11-06,583.63,2024-11-15,10xO:SPY241115C00589000 | -10xO:SPY241115P00579000,500.0,5250.0,4750.0,TP_75PCT,10,75,0.0,500.0,Bullish Risk Reversal
