entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2024-08-12,2024-08-13,533.27,2024-09-06,1xO:SPY240906P00538000 | -2xO:SPY240906P00533000 | 1xO:SPY240906P00528000,-16.0,27.0,43.0,TP_200PCT,1,200,,16.0,07_long_put_butterfly
2024-08-19,2024-09-13,559.61,2024-09-13,2xO:SPY240913P00565000 | -4xO:SPY240913P00560000 | 2xO:SPY240913P00555000,352.0,618.0,266.0,EXPIRY_FLATTEN,2,200,,352.0,07_long_put_butterfly
2024-08-26,2024-08-28,560.79,2024-09-20,12xO:SPY240920P00566000 | -24xO:SPY240920P00561000 | 12xO:SPY240920P00556000,492.0,1680.0,1188.0,TP_200PCT,12,200,,492.0,07_long_put_butterfly
2024-09-03,2024-09-27,552.08,2024-09-27,3xO:SPY240927P00557000 | -6xO:SPY240927P00552000 | 3xO:SPY240927P00547000,429.0,0.0,-429.0,EXPIRY_FLATTEN,3,200,,429.0,07_long_put_butterfly
2024-09-09,2024-10-04,546.41,2024-10-04,2xO:SPY241004P00551000 | -4xO:SPY241004P00546000 | 2xO:SPY241004P00541000,470.0,0.0,-470.0,EXPIRY_FLATTEN,2,200,,470.0,07_long_put_butterfly
2024-09-16,2024-10-11,562.84,2024-10-11,2xO:SPY241011P00568000 | -4xO:SPY241011P00563000 | 2xO:SPY241011P00558000,396.0,0.0,-396.0,EXPIRY_FLATTEN,2,200,,396.0,07_long_put_butterfly
2024-09-23,2024-10-18,569.67,2024-10-18,7xO:SPY241018P00575000 | -14xO:SPY241018P00570000 | 7xO:SPY241018P00565000,483.0,0.0,-483.0,EXPIRY_FLATTEN,7,200,,483.0,07_long_put_butterfly
2024-09-30,2024-10-25,573.76,2024-10-25,8xO:SPY241025P00579000 | -16xO:SPY241025P00574000 | 8xO:SPY241025P00569000,472.0,240.0,-232.0,EXPIRY_FLATTEN,8,200,,472.0,07_long_put_butterfly
2024-10-07,2024-11-01,567.8,2024-11-01,4xO:SPY241101P00573000 | -8xO:SPY241101P00568000 | 4xO:SPY241101P00563000,424.0,464.0,40.0,EXPIRY_FLATTEN,4,200,,424.0,07_long_put_butterfly
2024-10-14,2024-10-21,584.32,2024-11-08,19xO:SPY241108P00589000 | -38xO:SPY241108P00584000 | 19xO:SPY241108P00579000,494.0,1653.0,1159.0,TP_200PCT,19,200,,494.0,07_long_put_butterfly
2024-10-21,2024-11-15,583.63,2024-11-15,3xO:SPY241115P00589000 | -6xO:SPY241115P00584000 | 3xO:SPY241115P00579000,399.0,696.0,297.0,EXPIRY_FLATTEN,3,200,,399.0,07_long_put_butterfly
