entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2024-08-12,2024-08-28,533.27,2024-09-06,9xO:SPY240906C00528000 | -18xO:SPY240906C00533000 | 9xO:SPY240906C00538000,477.0,4743.0,4266.0,TP_100PCT,9,100,,477.0,06_long_call_butterfly
2024-08-19,2024-09-11,559.61,2024-09-13,8xO:SPY240913C00555000 | -16xO:SPY240913C00560000 | 8xO:SPY240913C00565000,456.0,1072.0,616.0,TP_100PCT,8,100,,456.0,06_long_call_butterfly
2024-08-26,2024-09-10,560.79,2024-09-20,13xO:SPY240920C00556000 | -26xO:SPY240920C00561000 | 13xO:SPY240920C00566000,494.0,1053.0,559.0,TP_100PCT,13,100,,494.0,06_long_call_butterfly
2024-09-03,2024-09-04,552.08,2024-09-27,19xO:SPY240927C00547000 | -38xO:SPY240927C00552000 | 19xO:SPY240927C00557000,494.0,2280.0,1786.0,TP_100PCT,19,100,,494.0,06_long_call_butterfly
2024-09-09,2024-09-12,546.41,2024-10-04,1xO:SPY241004C00541000 | -2xO:SPY241004C00546000 | 1xO:SPY241004C00551000,-97.0,7.0,104.0,TP_100PCT,1,100,,97.0,06_long_call_butterfly
2024-09-16,2024-09-18,562.84,2024-10-11,8xO:SPY241011C00558000 | -16xO:SPY241011C00563000 | 8xO:SPY241011C00568000,448.0,1032.0,584.0,TP_100PCT,8,100,,448.0,06_long_call_butterfly
2024-09-23,2024-10-18,569.67,2024-10-18,8xO:SPY241018C00565000 | -16xO:SPY241018C00570000 | 8xO:SPY241018C00575000,464.0,-40.0,-504.0,EXPIRY_FLATTEN,8,100,,464.0,06_long_call_butterfly
2024-09-30,2024-10-25,573.76,2024-10-25,6xO:SPY241025C00569000 | -12xO:SPY241025C00574000 | 6xO:SPY241025C00579000,474.0,342.0,-132.0,EXPIRY_FLATTEN,6,100,,474.0,06_long_call_butterfly
2024-10-07,2024-10-09,567.8,2024-11-01,1xO:SPY241101C00563000 | -2xO:SPY241101C00568000 | 1xO:SPY241101C00573000,-19.0,93.0,112.0,TP_100PCT,1,100,,19.0,06_long_call_butterfly
2024-10-14,2024-10-15,584.32,2024-11-08,29xO:SPY241108C00579000 | -58xO:SPY241108C00584000 | 29xO:SPY241108C00589000,493.0,1740.0,1247.0,TP_100PCT,29,100,,493.0,06_long_call_butterfly
2024-10-21,2024-10-24,583.63,2024-11-15,13xO:SPY241115C00579000 | -26xO:SPY241115C00584000 | 13xO:SPY241115C00589000,468.0,1027.0,559.0,TP_100PCT,13,100,,468.0,06_long_call_butterfly
2024-10-28,2024-10-31,580.83,2024-11-22,12xO:SPY241122C00576000 | -24xO:SPY241122C00581000 | 12xO:SPY241122C00586000,492.0,1404.0,912.0,TP_100PCT,12,100,,492.0,06_long_call_butterfly
2024-11-04,2024-11-07,569.81,2024-11-29,12xO:SPY241129C00565000 | -24xO:SPY241129C00570000 | 12xO:SPY241129C00575000,480.0,1464.0,984.0,TP_100PCT,12,100,,480.0,06_long_call_butterfly
2024-11-11,2024-11-22,598.76,2024-12-06,10xO:SPY241206C00594000 | -20xO:SPY241206C00599000 | 10xO:SPY241206C00604000,480.0,990.0,510.0,TP_100PCT,10,100,,480.0,06_long_call_butterfly
2024-11-18,2024-11-22,588.15,2024-12-13,10xO:SPY241213C00583000 | -20xO:SPY241213C00588000 | 10xO:SPY241213C00593000,460.0,1600.0,1140.0,TP_100PCT,10,100,,460.0,06_long_call_butterfly
2024-11-25,2024-11-26,597.53,2024-12-20,22xO:SPY241220C00593000 | -44xO:SPY241220C00598000 | 22xO:SPY241220C00603000,484.0,1364.0,880.0,TP_100PCT,22,100,,484.0,06_long_call_butterfly
2024-12-02,2024-12-09,603.63,2024-12-27,7xO:SPY241227C00599000 | -14xO:SPY241227C00604000 | 7xO:SPY241227C00609000,462.0,1295.0,833.0,TP_100PCT,7,100,,462.0,06_long_call_butterfly
2024-12-09,2025-01-03,604.68,2025-01-03,5xO:SPY250103C00600000 | -10xO:SPY250103C00605000 | 5xO:SPY250103C00610000,495.0,0.0,-495.0,EXPIRY_FLATTEN,5,100,,495.0,06_long_call_butterfly
2024-12-16,2025-01-10,606.79,2025-01-10,4xO:SPY250110C00602000 | -8xO:SPY250110C00607000 | 4xO:SPY250110C00612000,444.0,0.0,-444.0,EXPIRY_FLATTEN,4,100,,444.0,06_long_call_butterfly
2024-12-23,2025-01-15,594.69,2025-01-17,12xO:SPY250117C00590000 | -24xO:SPY250117C00595000 | 12xO:SPY250117C00600000,492.0,1872.0,1380.0,TP_100PCT,12,100,,492.0,06_long_call_butterfly
2024-12-30,2024-12-31,588.22,2025-01-24,1xO:SPY250124C00583000 | -2xO:SPY250124C00588000 | 1xO:SPY250124C00593000,-24.0,22.0,46.0,TP_100PCT,1,100,,24.0,06_long_call_butterfly
2025-01-06,2025-01-29,595.36,2025-01-31,9xO:SPY250131C00590000 | -18xO:SPY250131C00595000 | 9xO:SPY250131C00600000,495.0,1818.0,1323.0,TP_100PCT,9,100,,495.0,06_long_call_butterfly
2025-01-13,2025-01-15,581.39,2025-02-07,1xO:SPY250207C00576000 | -2xO:SPY250207C00581000 | 1xO:SPY250207C00586000,-80.0,6.0,86.0,TP_100PCT,1,100,,80.0,06_long_call_butterfly
2025-01-21,2025-01-22,603.05,2025-02-14,1xO:SPY250214C00598000 | -2xO:SPY250214C00603000 | 1xO:SPY250214C00608000,-49.0,87.0,136.0,TP_100PCT,1,100,,49.0,06_long_call_butterfly
2025-01-27,2025-01-28,599.37,2025-02-21,71xO:SPY250221C00594000 | -142xO:SPY250221C00599000 | 71xO:SPY250221C00604000,497.0,4757.0,4260.0,TP_100PCT,71,100,,497.0,06_long_call_butterfly
2025-02-03,2025-02-05,597.77,2025-02-28,83xO:SPY250228C00593000 | -166xO:SPY250228C00598000 | 83xO:SPY250228C00603000,498.0,6640.0,6142.0,TP_100PCT,83,100,,498.0,06_long_call_butterfly
2025-02-10,2025-03-07,604.85,2025-03-07,9xO:SPY250307C00600000 | -18xO:SPY250307C00605000 | 9xO:SPY250307C00610000,486.0,0.0,-486.0,EXPIRY_FLATTEN,9,100,,486.0,06_long_call_butterfly
2025-02-18,2025-02-19,611.49,2025-03-14,1xO:SPY250314C00606000 | -2xO:SPY250314C00611000 | 1xO:SPY250314C00616000,-79.0,10.0,89.0,TP_100PCT,1,100,,79.0,06_long_call_butterfly
2025-02-24,2025-03-21,597.21,2025-03-21,8xO:SPY250321C00592000 | -16xO:SPY250321C00597000 | 8xO:SPY250321C00602000,496.0,0.0,-496.0,EXPIRY_FLATTEN,8,100,,496.0,06_long_call_butterfly
2025-03-03,2025-03-28,583.77,2025-03-28,2xO:SPY250328C00579000 | -4xO:SPY250328C00584000 | 2xO:SPY250328C00589000,428.0,0.0,-428.0,EXPIRY_FLATTEN,2,100,,428.0,06_long_call_butterfly
2025-03-17,2025-03-18,567.15,2025-04-11,1xO:SPY250411C00562000 | -2xO:SPY250411C00567000 | 1xO:SPY250411C00572000,-5.0,111.0,116.0,TP_100PCT,1,100,,5.0,06_long_call_butterfly
2025-03-31,2025-04-02,559.39,2025-04-25,17xO:SPY250425C00554000 | -34xO:SPY250425C00559000 | 17xO:SPY250425C00564000,493.0,7548.0,7055.0,TP_100PCT,17,100,,493.0,06_long_call_butterfly
2025-04-14,2025-04-30,539.12,2025-05-09,2xO:SPY250509C00534000 | -4xO:SPY250509C00539000 | 2xO:SPY250509C00544000,368.0,780.0,412.0,TP_100PCT,2,100,,368.0,06_long_call_butterfly
2025-04-21,2025-04-23,513.88,2025-05-16,6xO:SPY250516C00509000 | -12xO:SPY250516C00514000 | 6xO:SPY250516C00519000,492.0,1776.0,1284.0,TP_100PCT,6,100,,492.0,06_long_call_butterfly
2025-04-28,2025-05-05,550.85,2025-05-23,1xO:SPY250523C00546000 | -2xO:SPY250523C00551000 | 1xO:SPY250523C00556000,-5.0,196.0,201.0,TP_100PCT,1,100,,5.0,06_long_call_butterfly
2025-05-05,2025-05-06,563.51,2025-05-30,1xO:SPY250530C00559000 | -2xO:SPY250530C00564000 | 1xO:SPY250530C00569000,-22.0,121.0,143.0,TP_100PCT,1,100,,22.0,06_long_call_butterfly
