entry_date,exit_date,spot,exp_near,legs,entry_val,exit_val,pnl,exit_reason,mult,tp_pct,sl_pct,premium_basis,strategy
2024-08-12,2024-09-06,533.27,2024-09-06,3xO:SPY240906P00533000 | -3xO:SPY240906P00528000 | -3xO:SPY240906P00523000 | 3xO:SPY240906P00518000,396.0,0.0,-396.0,EXPIRY_FLATTEN,3,150,,396.0,23_put_ladder_defined_risk
2024-08-19,2024-09-09,559.61,2024-09-13,6xO:SPY240913P00560000 | -6xO:SPY240913P00555000 | -6xO:SPY240913P00550000 | 6xO:SPY240913P00545000,498.0,1794.0,1296.0,TP_150PCT,6,150,,498.0,23_put_ladder_defined_risk
2024-08-26,2024-09-05,560.79,2024-09-20,5xO:SPY240920P00561000 | -5xO:SPY240920P00556000 | -5xO:SPY240920P00551000 | 5xO:SPY240920P00546000,450.0,1315.0,865.0,TP_150PCT,5,150,,450.0,23_put_ladder_defined_risk
2024-09-03,2024-09-27,552.08,2024-09-27,7xO:SPY240927P00552000 | -7xO:SPY240927P00547000 | -7xO:SPY240927P00542000 | 7xO:SPY240927P00537000,483.0,0.0,-483.0,EXPIRY_FLATTEN,7,150,,483.0,23_put_ladder_defined_risk
2024-09-16,2024-10-11,562.84,2024-10-11,5xO:SPY241011P00563000 | -5xO:SPY241011P00558000 | -5xO:SPY241011P00553000 | 5xO:SPY241011P00548000,460.0,0.0,-460.0,EXPIRY_FLATTEN,5,150,,460.0,23_put_ladder_defined_risk
2024-09-23,2024-10-18,569.67,2024-10-18,6xO:SPY241018P00570000 | -6xO:SPY241018P00565000 | -6xO:SPY241018P00560000 | 6xO:SPY241018P00555000,444.0,0.0,-444.0,EXPIRY_FLATTEN,6,150,,444.0,23_put_ladder_defined_risk
2024-09-30,2024-10-25,573.76,2024-10-25,7xO:SPY241025P00574000 | -7xO:SPY241025P00569000 | -7xO:SPY241025P00564000 | 7xO:SPY241025P00559000,448.0,21.0,-427.0,EXPIRY_FLATTEN,7,150,,448.0,23_put_ladder_defined_risk
2024-10-07,2024-11-01,567.8,2024-11-01,7xO:SPY241101P00568000 | -7xO:SPY241101P00563000 | -7xO:SPY241101P00558000 | 7xO:SPY241101P00553000,462.0,0.0,-462.0,EXPIRY_FLATTEN,7,150,,462.0,23_put_ladder_defined_risk
2024-10-14,2024-11-04,584.32,2024-11-08,8xO:SPY241108P00584000 | -8xO:SPY241108P00579000 | -8xO:SPY241108P00574000 | 8xO:SPY241108P00569000,480.0,1536.0,1056.0,TP_150PCT,8,150,,480.0,23_put_ladder_defined_risk
2024-10-21,2024-10-22,583.63,2024-11-15,55xO:SPY241115P00584000 | -55xO:SPY241115P00579000 | -55xO:SPY241115P00574000 | 55xO:SPY241115P00569000,495.0,3960.0,3465.0,TP_150PCT,55,150,,495.0,23_put_ladder_defined_risk
2024-10-28,2024-11-22,580.83,2024-11-22,5xO:SPY241122P00581000 | -5xO:SPY241122P00576000 | -5xO:SPY241122P00571000 | 5xO:SPY241122P00566000,490.0,0.0,-490.0,EXPIRY_FLATTEN,5,150,,490.0,23_put_ladder_defined_risk
2024-11-04,2024-11-29,569.81,2024-11-29,21xO:SPY241129P00570000 | -21xO:SPY241129P00565000 | -21xO:SPY241129P00560000 | 21xO:SPY241129P00555000,483.0,0.0,-483.0,EXPIRY_FLATTEN,21,150,,483.0,23_put_ladder_defined_risk
2024-11-11,2024-11-18,598.76,2024-12-06,7xO:SPY241206P00599000 | -7xO:SPY241206P00594000 | -7xO:SPY241206P00589000 | 7xO:SPY241206P00584000,469.0,1372.0,903.0,TP_150PCT,7,150,,469.0,23_put_ladder_defined_risk
2024-11-18,2024-12-13,588.15,2024-12-13,7xO:SPY241213P00588000 | -7xO:SPY241213P00583000 | -7xO:SPY241213P00578000 | 7xO:SPY241213P00573000,469.0,7.0,-462.0,EXPIRY_FLATTEN,7,150,,469.0,23_put_ladder_defined_risk
2024-11-25,2024-12-18,597.53,2024-12-20,6xO:SPY241220P00598000 | -6xO:SPY241220P00593000 | -6xO:SPY241220P00588000 | 6xO:SPY241220P00583000,480.0,1914.0,1434.0,TP_150PCT,6,150,,480.0,23_put_ladder_defined_risk
2024-12-02,2024-12-23,603.63,2024-12-27,4xO:SPY241227P00604000 | -4xO:SPY241227P00599000 | -4xO:SPY241227P00594000 | 4xO:SPY241227P00589000,452.0,1340.0,888.0,TP_150PCT,4,150,,452.0,23_put_ladder_defined_risk
2024-12-09,2024-12-20,604.68,2025-01-03,5xO:SPY250103P00605000 | -5xO:SPY250103P00600000 | -5xO:SPY250103P00595000 | 5xO:SPY250103P00590000,455.0,1210.0,755.0,TP_150PCT,5,150,,455.0,23_put_ladder_defined_risk
2024-12-16,2024-12-23,606.79,2025-01-10,5xO:SPY250110P00607000 | -5xO:SPY250110P00602000 | -5xO:SPY250110P00597000 | 5xO:SPY250110P00592000,460.0,1175.0,715.0,TP_150PCT,5,150,,460.0,23_put_ladder_defined_risk
2024-12-23,2025-01-16,594.69,2025-01-17,6xO:SPY250117P00595000 | -6xO:SPY250117P00590000 | -6xO:SPY250117P00585000 | 6xO:SPY250117P00580000,498.0,1656.0,1158.0,TP_150PCT,6,150,,498.0,23_put_ladder_defined_risk
2024-12-30,2025-01-24,588.22,2025-01-24,2xO:SPY250124P00588000 | -2xO:SPY250124P00583000 | -2xO:SPY250124P00578000 | 2xO:SPY250124P00573000,366.0,0.0,-366.0,EXPIRY_FLATTEN,2,150,,366.0,23_put_ladder_defined_risk
2025-01-06,2025-01-14,595.36,2025-01-31,7xO:SPY250131P00595000 | -7xO:SPY250131P00590000 | -7xO:SPY250131P00585000 | 7xO:SPY250131P00580000,455.0,1183.0,728.0,TP_150PCT,7,150,,455.0,23_put_ladder_defined_risk
2025-01-13,2025-01-16,581.39,2025-02-07,25xO:SPY250207P00581000 | -25xO:SPY250207P00576000 | -25xO:SPY250207P00571000 | 25xO:SPY250207P00566000,500.0,2425.0,1925.0,TP_150PCT,25,150,,500.0,23_put_ladder_defined_risk
