alert_id,ticker,created_at,direction,snapshot_status
(1, 'PSX', datetime.datetime(2026, 7, 16, 5, 55, 45, 333004, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(2, 'PSX', datetime.datetime(2026, 7, 16, 5, 57, 26, 233019, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(3, 'NTLA', datetime.datetime(2026, 7, 16, 6, 16, 6, 937367, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(4, 'PSX', datetime.datetime(2026, 7, 16, 6, 16, 8, 318437, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(5, 'EW', datetime.datetime(2026, 7, 16, 6, 16, 9, 511736, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(6, 'MAA', datetime.datetime(2026, 7, 16, 6, 16, 10, 751409, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(7, 'PSX', datetime.datetime(2026, 7, 16, 6, 17, 16, 123195, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(8, 'NTLA', datetime.datetime(2026, 7, 16, 6, 17, 20, 386820, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(9, 'EW', datetime.datetime(2026, 7, 16, 6, 17, 22, 384863, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(10, 'MAA', datetime.datetime(2026, 7, 16, 6, 17, 23, 456560, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(11, 'PSX', datetime.datetime(2026, 7, 16, 6, 17, 44, 133985, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(12, 'NTLA', datetime.datetime(2026, 7, 16, 6, 17, 48, 390052, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(13, 'EW', datetime.datetime(2026, 7, 16, 6, 17, 50, 411538, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(14, 'MAA', datetime.datetime(2026, 7, 16, 6, 17, 51, 567826, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(15, 'PSX', datetime.datetime(2026, 7, 16, 6, 21, 2, 581251, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(16, 'PSX', datetime.datetime(2026, 7, 16, 8, 19, 38, 745897, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(17, 'NTLA', datetime.datetime(2026, 7, 16, 8, 19, 39, 830725, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(18, 'EW', datetime.datetime(2026, 7, 16, 8, 19, 40, 833152, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(19, 'MAA', datetime.datetime(2026, 7, 16, 8, 19, 42, 78429, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(20, 'PSX', datetime.datetime(2026, 7, 16, 8, 21, 28, 58841, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(21, 'MEC', datetime.datetime(2026, 7, 17, 14, 17, 12, 635725, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(22, 'UMC', datetime.datetime(2026, 7, 17, 14, 17, 17, 949038, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(23, 'PINS', datetime.datetime(2026, 7, 17, 14, 17, 21, 229482, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(24, 'WOLF', datetime.datetime(2026, 7, 17, 14, 17, 23, 400492, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
(25, 'TER', datetime.datetime(2026, 7, 17, 14, 17, 27, 778525, tzinfo=datetime.timezone.utc), 'LONG_PUT', 'NO_SNAPSHOT')
total_alerts: 25  no_snapshot: 25  has_snapshot: 0
