TOTAL ROWS: 116
pattern_name                                            cat              dir      ena   status                 prec    rec    fpr    fnr     n
----------------------------------------------------------------------------------------------------------------------------------------------
abandoned_baby_bearish                                  CANDLESTICK      BEARISH  False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     1
abandoned_baby_bullish                                  CANDLESTICK      BULLISH  True  PASS                  0.667  0.001  0.000  0.999     3
advance_block                                           CANDLESTICK      BEARISH  True  PASS                  0.578  0.011  0.008  0.989    71
bearish_belt_hold                                       CANDLESTICK      BEARISH  False FAIL                  0.442  0.021  0.026  0.979   172
bearish_engulfing                                       CANDLESTICK      BEARISH  False FAIL                  0.496  0.047  0.049  0.953   349
bearish_harami                                          CANDLESTICK      BEARISH  True  PASS                  0.503  0.020  0.020  0.980   145
bearish_harami_cross                                    CANDLESTICK      BEARISH  False FAIL                  0.495  0.013  0.013  0.987    95
bearish_kicker                                          CANDLESTICK      BEARISH  True  PASS                  0.596  0.009  0.006  0.992    52
bearish_marubozu                                        CANDLESTICK      BEARISH  False FAIL                  0.361  0.004  0.006  0.997    36
bullish_belt_hold                                       CANDLESTICK      BULLISH  True  PASS                  0.517  0.018  0.015  0.982   120
bullish_engulfing                                       CANDLESTICK      BULLISH  False FAIL                  0.464  0.042  0.045  0.958   317
bullish_harami                                          CANDLESTICK      BULLISH  True  PASS                  0.508  0.018  0.016  0.982   122
bullish_harami_cross                                    CANDLESTICK      BULLISH  True  PASS                  0.512  0.012  0.011  0.988    82
bullish_kicker                                          CANDLESTICK      BULLISH  True  PASS                  0.630  0.008  0.004  0.992    46
bullish_marubozu                                        CANDLESTICK      BULLISH  False FAIL                  0.455  0.004  0.005  0.996    33
concealing_baby_swallow                                 CANDLESTICK      BULLISH  False INSUFFICIENT_DATA     0.000  0.000  0.000  0.000     0
dark_cloud_cover                                        CANDLESTICK      BEARISH  False FAIL                  0.474  0.010  0.011  0.990    78
deliberation                                            CANDLESTICK      BEARISH  True  PASS                  0.569  0.035  0.027  0.965   225
