FAIL COUNT: 42
pattern_name                                  source_file                              function_name                                 function_sha256        prec    rec    fpr    fnr     n ena  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bearish_belt_hold                             candlestick_patterns.py                  is_bearish_belt_hold                          6d913d4cf5c47bd62c25  0.442  0.021  0.026  0.979   172 False
bearish_engulfing                             candlestick_patterns.py                  is_bearish_engulfing                          66a5749d94ebbd8f7c68  0.496  0.047  0.049  0.953   349 False
bearish_harami_cross                          candlestick_patterns.py                  is_bearish_harami_cross                       ef9b190b785116152079  0.495  0.013  0.013  0.987    95 False
bearish_marubozu                              candlestick_patterns.py                  is_bearish_marubozu                           ac6504f87a49a444399f  0.361  0.004  0.006  0.997    36 False
bullish_engulfing                             candlestick_patterns.py                  is_bullish_engulfing                          b04ddaefd5bd5a81b1a0  0.464  0.042  0.045  0.958   317 False
bullish_marubozu                              candlestick_patterns.py                  is_bullish_marubozu                           ca4223d20c108f5b41bd  0.455  0.004  0.005  0.996    33 False
dark_cloud_cover                              candlestick_patterns.py                  is_dark_cloud_cover                           25376c674b37ab3d502b  0.474  0.010  0.011  0.990    78 False
evening_doji_star                             candlestick_patterns.py                  is_evening_doji_star                          42e978a4eb7eea619fa5  0.333  0.001  0.002  0.999     9 False
evening_star                                  candlestick_patterns.py                  is_evening_star                               e634e7e47d55e3583abc  0.485  0.035  0.037  0.965   264 False
inverted_hammer                               candlestick_patterns.py                  is_inverted_hammer                            3118fed1de8093553653  0.460  0.026  0.028  0.974   198 False
morning_doji_star                             candlestick_patterns.py                  is_morning_doji_star                          56c18263585d5a3a79dc  0.286  0.001  0.001  0.999     7 False
morning_star                                  candlestick_patterns.py                  is_morning_star                               39dd59e258157736699a  0.476  0.040  0.041  0.960   294 False
three_black_crows                             candlestick_patterns.py                  is_three_black_crows                          29581daa22466e71c1c1  0.484  0.004  0.004  0.996    31 False
three_inside_down                             candlestick_patterns.py                  is_three_inside_down                          e684a81117eb453f662a  0.393  0.003  0.005  0.997    28 False
three_outside_down                            candlestick_patterns.py                  is_three_outside_down                         56b52507d055db001a9d  0.405  0.016  0.024  0.984   148 False
three_outside_up                              candlestick_patterns.py                  is_three_outside_up                           6a069fbfb5155df71037  0.438  0.013  0.015  0.987   105 False
tweezer_bottoms                               candlestick_patterns.py                  is_tweezer_bottoms                            b3df4a5a7e6fb91d61d1  0.489  0.032  0.031  0.968   231 False
breakaway_gap_up                              price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.488  0.006  0.006  0.994    43 False
broadening_top                                price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.494  0.036  0.037  0.964   267 False
channel_ascending                             price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.439  0.033  0.039  0.967   262 False
complex_head_and_shoulders                    price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.387  0.006  0.011  0.994    62 False
cup_and_handle                                price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.481  0.029  0.029  0.971   210 False
diamond_top                                   price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.436  0.006  0.009  0.994    55 False
double_bottom                                 price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.485  0.186  0.182  0.814  1342 False
double_top                                    price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.493  0.212  0.220  0.788  1577 False
exhaustion_gap_down                           price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.490  0.037  0.035  0.963   263 False
head_and_shoulders                            price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.448  0.023  0.029  0.977   192 False
inverse_head_and_shoulders                    price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.489  0.025  0.024  0.975   176 False
measured_move_down                            price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.494  0.506  0.524  0.494  3760 False
measured_move_up                              price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.486  0.513  0.499  0.487  3692 False
rounded_bottom                                price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.458  0.039  0.042  0.961   295 False
rounded_top                                   price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.498  0.039  0.040  0.961   289 False
runaway_gap_down                              price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.470  0.051  0.059  0.949   402 False
runaway_gap_up                                price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.458  0.061  0.067  0.939   469 False
triangle_descending                           price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.484  0.048  0.052  0.952   366 False
triple_bottom                                 price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.474  0.039  0.039  0.961   285 False
wedge_falling                                 price_structure_patterns.py              classify_chart_patterns                       classify_chart_patte  0.443  0.050  0.058  0.950   393 False
vpa_shakeout                                  aiem_wyckoff_vpa.py                      detect_shakeout                               1dd86d9b5d41d9802abb  0.473  0.007  0.008  0.993    55 False
vpa_stopping_volume                           aiem_wyckoff_vpa.py                      detect_stopping_volume                        783af8e5bd33ec25e334  0.462  0.002  0.002  0.998    13 False
wyckoff_distribution                          aiem_wyckoff_vpa.py                      detect_distribution_phase                     43c749921d0a41f93734  0.476  0.038  0.042  0.962   294 False
wyckoff_sos                                   aiem_wyckoff_vpa.py                      detect_sign_of_strength                       1053407f4afbd0f86244  0.472  0.017  0.017  0.983   125 False
wyckoff_sow                                   aiem_wyckoff_vpa.py                      detect_sign_of_weakness                       4fdac9879059ae3a4698  0.438  0.011  0.015  0.989    96 False
